"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"jimmy john's",60707,"Jimmy John's",3.4,1.0,124.0,"OPERATIONAL","ChIJ7basLCXLD4gRp4TnaLAsvPI","1702 N Harlem Ave, Elmwood Park, IL 60707, United States","['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's",60607,"Jimmy John's",3.9,1.0,139.0,"OPERATIONAL","ChIJ98xQs-MsDogRWgmrNNocExM","1133 W Taylor St, Chicago, IL 60607, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's   michigan",60601,"Jimmy John's",3.8,1.0,89.0,"OPERATIONAL","ChIJ2WUVRK8sDogRopRINnuwNfc","225 Michigan Ave, Chicago, IL 60602, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's  state",60605,"Jimmy John's",3.3,1.0,69.0,"OPERATIONAL","ChIJuXoaRpssDogRXj3rMK1NLM8","725 S State St, Chicago, IL 60605, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy john's 3106",60612,"Jimmy John's",3.8,1.0,77.0,"OPERATIONAL","ChIJHSKxffhTDogR8V0nnHZkDC4","721 S Seeley Ave, Chicago, IL 60612, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy john's clark",60602,"Jimmy John's",3.2,1.0,27.0,"OPERATIONAL","ChIJeZBoq7ssDogRChAcQSB-N1o","28 N Clark St, Chicago, IL 60602, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jimmy john's gourmet sandwiches",60618,"Jimmy John's",3.1,1.0,105.0,"OPERATIONAL","ChIJG37IjGbSD4gRPl3g2unEiHA","2115 W Roscoe St, Chicago, IL 60618, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy john's sandwich shop",60622,"Jimmy John's",3.5,1.0,145.0,"OPERATIONAL","ChIJpXyzOrbSD4gR0nqRMLn9Y8A","2048 W Division St, Chicago, IL 60622, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60607,"Jimmy John's",3.6,1.0,101,"OPERATIONAL","ChIJVTHjs8IsDogRd0xQXXV6eRw","812 W Van Buren St, Chicago, IL 60607, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60640,"Jimmy John's",3.8,1.0,144,"OPERATIONAL","ChIJ3xW6Xy3SD4gRul25TvR2pcE","1148 W Wilson Ave, Chicago, IL 60640, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jimmy johns",60661,"Jimmy John's",3.5,1.0,57,"OPERATIONAL","ChIJi_LaIMEsDogRqvYYEsEul3I","131 S Clinton St, Chicago, IL 60661, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
