dba_name,address,zip,state
angry crab,1308 n milwaukee,60622,il
angry octopus,2100 n clark st,60614,il
angry taco,7210 n california ave,60645,il
anm food mart,1951 w garfield blvd,60636,il
anmol barbeque,2858 w devon ave,60659,il
ann sather restaurant,909 w belmont ave,60657,il
ann sather restaurant granville,1145 1147 w granville ave,60660,il
ann sather's cafe,3415 n broadway,60657,il
ann's seafood4289 inc.,2428 n ashland ave,60614,il
anna maria pasteria,4400 4404 n clark st,60640,il
anna purana fast food,2600 w devon ave,60659,il
anna's thai kitchen,1828 1830 w montrose ave,60613,il
annie lees fastbreak restaurant,2804 w roosevelt rd,60612,il
anor,1450 w webster ave,60614,il
another bite,6632 n clark st,60626,il
antepli turkish gourmet,4849 n kedzie ave,60625,il
anteprima,5316 n clark st,60640,il
anticonquista cafe,952 w 18th st,60608,il
antique taco,1360 n milwaukee ave,60622,il
antique taco bridgeport,1000 w 35th st,60609,il
anto pizza chicago,1547 w jarvis ave,60626,il
antojitos guatemaltecos,5536 n elston ave,60630,il
antojitos majicos la michoacan,3540 w lawrence ave,60625,il
antojitos majicos la michoacana,3540 w lawrence ave,60625,il
antonio's tacos,2659 2661 n harlem ave,60707,il
apero,4160 n lincoln ave,60618,il
apna indian grill,4393 n elston ave,60641,il
apollo's 2000,2875 w cermak rd,60623,il
apolonia,105 e cermak rd,60616,il
applebee's neighborhood grill & bar,6656 w grand ave,60707,il
aquarius club & restaurant,2457 2459 n pulaski rd,60639,il
aramark,1020 w sheridan rd,60660,il
aramark,211 e chicago ave,60611,il
aramark,26 e pearson st,60611,il
aramark,5000 n spaulding ave,60625,il
aramark,6501 n kenmore ave,60660,il
aramark,875 n michigan ave,60611,il
aramark   billings kitchen,5841 s maryland ave,60637,il
aramark   cafe central,5758 s maryland ave,60637,il
aramark   sky cafe,5700 s maryland ave,60637,il
aramark & loyola damen,6511 n sheridan rd,60626,il
aramark @ harris bank,320 s canal st,60606,il
aramark @ imc,233 s wacker dr,60606,il
aramark @ loyola denobili,6350 n kenmore ave,60660,il
aramark @ loyola green,6327 n kenmore ave,60660,il
aramark @ north park,5145 n christiana ave,60625,il
aramark @ north park university,5000 n spaulding ave,60625,il
aramark at boeing,100 n riverside plz,60606,il
aramark at ford chicago assembly plant,12600 s torrence ave,60633,il
aramark educational services,13300 s langley,60827,il
aramark educational services,3820 n spaulding ave,60618,il
"aramark educational services, inc",25 e pearson st,60611,il
aramark field museum,1400 s lake shore dr,60605,il
aramark soldier field,1410 s museum campus dr,60605,il
aramark@ loyola simpson  residential,6333 n winthrop ave,60660,il
aramark@loyola halas cafe,6458 n winthrop ave,60626,il
arami,1829 w chicago ave,60622,il
arami woodgrain,5700 s cicero ave,60638,il
aranda mexican restaurant,6706 w belmont ave,60634,il
arbella,112 114 w grand ave,60654,il
"arby's  sba,ltd",5 n wells st,60606,il
arby's roast beef,7807 s cicero ave,60652,il
arbys,500 w madison st,60661,il
archies,1228 w loyola ave,60626,il
architectural artifacts,1065 n orleans st,60610,il
arco iris,2950 w belmont ave,60618,il
arepa george,1552 n kedzie ave,60651,il
arepa george cantina,3325 3329 w armitage ave,60647,il
arlo chicago,168 n michigan ave,60601,il
armand's victory tap,1416 s michigan ave,60605,il
armands pizzeria,4159 n western ave,60618,il
armitage ale house,1000 w armitage ave,60614,il
armoca desi grill,560 w van buren st,60607,il
aroma hot pot,2026 s clark st,60616,il
aromadipan llc,4959 n kedzie ave,60625,il
aroy thai restaurant,4654 n damen ave,60625,il
art of pizza on state,727 s state st,60605,il
art's drive in one llc,1333 w north ave,60642,il
artango bar and steakhouse,4767 n lincoln ave,60625,il
artis restaurant and lounge,311 w chicago ave,60654,il
artist room cafe,5125 w madison st,60644,il
"artopolis bakery, cafe & angor",306 308 s halsted st,60661,il
arturo express,130 s canal st,60606,il
arturo's mexican food,7146 w diversey ave,60707,il
arturo's tacos,2001 n western ave,60647,il
arun's thai restaurant,4156 n kedzie ave,60618,il
arya bhavan,2508 w devon ave,60659,il
arzan market & cafe,4700 n kimball ave,60625,il
arzan market & cafe,4702 n kimball ave,60625,il
as time goes by ii ltd.,7706 w belmont ave,60634,il
asada,180 n wells st,60606,il
asadito taqueria wok n bao,540 w madison st,60661,il
asador bastian,214 w erie st,60654,il
asahi roll,6803 n sheridan rd,60626,il
asal restaurant,4748 n kenneth ave,60630,il
ash gastropub,6822 w archer ave,60638,il
ashour cafe,6255 n mccormick rd,60659,il
asia buffet and grill,8059 s cicero ave,60652,il
asian cafe,1053 w belmont ave,60657,il
"asian chopsticks, inc",28 e roosevelt rd,60605,il
asian cuisine express,3823 w 31st st,60623,il
asian diet,2049 w howard st,60645,il
asian garden,4660 n western ave,60625,il
asian mix,3945 n broadway,60613,il
asian outpost hawaiian hideout,1313 1315 s wabash ave,60605,il
asian resturant,6405 07 n bell ave,60645,il
asian station,1341 1343 w morse ave,60626,il
asian station,1343 w morse ave,60626,il
aster hall,900 n michigan ave,60611,il
astor club,24 e goethe st,60610,il
atardecer acapulqueno,2902 2906 w cermak rd bldg,60623,il
atelier restaurant,4835 n western ave,60625,il
athena board game cafe,1412 w lunt ave,60626,il
athena board game cafe,1418 w howard st,60626,il
athena restaurant,212 s halsted st,60661,il
athenaeum center for thought & culture,2936 n southport ave,60657,il
athenian room restaurant,807 w webster ave,60614,il
atitlan restaurant llc,3119 w lawrence ave,60625,il
atolito grill,4032 n milwaukee ave,60641,il
atrium events,4325 4343 n ravenswood ave,60613,il
attock submarine,3006 e 92nd st,60617,il
atwood,1 w washington st,60602,il
atx bodega,2301 2303 w foster ave,60625,il
au bon pain,200 e randolph st,60601,il
au bon pain,200 e randolph st bldg,60601,il
au bon pain,5215 n california ave,60625,il
au cheval,800 w randolph st,60607,il
audreys love snack shop,8645 s racine ave,60620,il
augie's,1721 w wrightwood ave,60614,il
augusta pizza & grill,4400 w augusta blvd,60651,il
auntie anne's,151 n michigan ave,60601,il
auntie anne's & cinnabon,6462 n sheridan rd,60626,il
auntie anne's pretzel,7601 s cicero ave,60652,il
auntie anne's pretzels,11601 w touhy ave,60666,il
auntie anne's pretzels,225 s canal st,60606,il
auntie anne's pretzels,500 w madison st,60661,il
auntie anne's pretzels,845 n michigan ave,60611,il
"auntie anne's, cinnabon, carvel",711 s seeley ave,60612,il
aunty joy's,1217 w devon ave,60660,il
aura,5701 n lake shore dr,60660,il
aurelio's pizza,1212 s michigan ave,60605,il
austin donuts,4825 n austin ave,60630,il
autea sweets & eats,2026 s clark st,60616,il
autumn green at midway village,6700 s keating ave,60629,il
ava's italian ice company,1814 n western ave,60647,il
avanti caffe,200 w jackson blvd,60606,il
avaspi anatolian tapas,1258 w belmont ave,60657,il
avec,615 w randolph st,60661,il
avec ii,141 w erie st,60654,il
avec iii,141 w erie st,60654,il
avec river north   bar avec,141 w erie st,60654,il
avenida del sabor,5805 5807 w diversey ave,60639,il
avenida peru co.,3131 n central ave,60634,il
avenue tap & kitchen,3407 n paulina st,60657,il
aviato,131 n clinton st,60661,il
avli on the park,180 n field blvd,60601,il
avli river north,700 702 n wells st,60654,il
avli taverna,1335 w wrightwood ave,60614,il
avondale music hall,3336 3342 n milwaukee ave,60641,il
avondale tap,3634 w belmont ave,60618,il
avvio inc,4358 4360 n elston ave,60641,il
avy's pizza,9917 s ewing ave,60617,il
awakenings cafe,1969 w ogden ave,60612,il
awash ethiopian restaurant,6324 6326 n broadway,60660,il
axum ethiopian restaurant,5844 5846 n broadway,60660,il
ay carbon pollo grill,5160 s pulaski rd,60632,il
ayan restaurant llc,5664 n lincoln ave,60659,il
ayayay comida mexicana,60 e lake st,60601,il
az restaurant,6253 n mccormick rd,60659,il
"aztec dave's tequila bar & grill, inc.",1143 n california ave,60622,il
azteca inc,4059 n milwaukee ave,60641,il
azteca jalisco restaurante,3550 n austin ave,60634,il
aztlan mexican grilll 1 inc.,3358 w montrose ave,60618,il
azucar bar & grill,2647 n kedzie ave,60647,il
"azucar, nieves and cafe corporation",3617 w 27th st,60623,il
azul,1177 n elston ave,60642,il
b & a supersub inc,3943 w roosevelt rd,60624,il
b & b ice cream and candy,1516 e 63rd st,60637,il
b j's  market,11601 w touhy ave,60666,il
b&b ice cream and candy,1308 w 95th st,60643,il
b&b ice cream and candy,8238 s racine ave,60620,il
"b' gabs goodies, llc",1450 e 57th st,60637,il
b'z sports bar & grill,12001 12003 s halsted st,60628,il
b.i. tea & dim sum,131 n clinton st,60661,il
baba philly house,12303 s halsted st,60628,il
baba pita,2343 w taylor st,60612,il
baba shawarma inc.,6404 n california ave,60645,il
baba's,6421 s dr martin luther king jr dr,60637,il
baba's buffalo famous crispy chicken & lemonade,5360 w division st,60651,il
baba's coffee,5544 5546 n kedzie ave,60625,il
baba's famous steak and lemonade,3407 1 2 w madison st,60624,il
baba's famous steak and lemonade,3958 w monroe st,60624,il
baba's famous steak and lemonade,7859 s state st,60619,il
baba's famous steak and lemonade,810 w 59th st,60621,il
baba's famous steak and lemonade,8235 s kedzie ave,60652,il
baba's famous steaks & lemondade,7500 s cottage grove ave,60619,il
baba's grill,8357 s cottage grove ave,60619,il
baba's mixed grill,7 e 111th st,60628,il
babas 63 & damen,2006 w 63rd st,60636,il
babas famous steak & lemonade,2101 e 71st st,60649,il
babas famous steak & lemonade,7100 s michigan ave,60619,il
"babas famous steak and lemonade on laramie, inc",345 n central ave,60644,il
"babas famous steak and lemonade on laramie,inc.",344 n laramie ave,60644,il
"babas fish & chicken, inc",1000 w 63rd st,60621,il
babas halal,6421 s dr martin luther king jr dr,60637,il
babas halal,7901 s damen ave,60620,il
babas original,8307 s dr martin luther king jr dr,60619,il
baby burritos,8121 s pulaski rd,60652,il
baby sharks steak & lemonade inc,345 n central ave,60644,il
babylon bistro,2639 2641 w peterson ave,60659,il
bacchanalia rest & lng,2413 s oakley ave,60608,il
bacci cafe & pizzeria ltd,2301 w taylor st,60612,il
bacci cafe and pizzeria on milwaukee ave. inc.,4367 n milwaukee ave,60641,il
bacci pizza,2101 w touhy ave,60645,il
bacci pizza franklin,162 n franklin st,60606,il
bacci pizzeria,1960 w madison st,60612,il
bacci pizzeria,2557 n halsted st,60614,il
bacci pizzeria on chicago ave,2343 w chicago ave,60622,il
baci amore,321 s jefferson st,60661,il
bacino's of lincoln park ltd,2204 n lincoln ave,60614,il
bacinos italian grill,248 w diversey pkwy,60657,il
back of the yards coffee,1621 w 47th st,60609,il
backlot coffee,2424 w montrose ave,60618,il
backlot coffee   bc irving park llc,3982 n avondale ave,60641,il
backyard grill,6355 n pulaski rd,60646,il
bacolod chicken house llc,6320 n lincoln ave,60659,il
bacon & jam,3335 w 111th st,60655,il
bad coffee,1801 w berteau ave,60613,il
bad owl coffee roasters,3315 s morgan st,60608,il
badabing wings,4754 n clark st,60640,il
badou senegalese cuisine,2049 w howard st,60645,il
badou senegalese cuisine corp,1945 1947 w howard st,60626,il
bae coffee company,2945 n broadway,60657,il
bagel miller,125 s clark st,60603,il
bagelers coffeehouse,2461 n lincoln ave,60614,il
"bagels on lincoln, llc",2461 n lincoln ave,60614,il
"baha restaurant, inc.",4842 4846 w diversey ave,60639,il
"bai cafe, inc.",3406 n ashland ave,60657,il
bai ordo,2621 w lawrence ave,60625,il
baja express inn taqueria,11128 s halsted st,60628,il
"baja express inn taqueria 1, inc.",11128 s halsted st,60628,il
bake,2246 w north ave,60647,il
baked by jane,5481 n northwest hwy,60630,il
baker miller,4655 n lincoln ave,60625,il
bakers square #220658,5220 n harlem ave,60656,il
bale sandwich and bakery,5014 n broadway,60640,il
bally's,600 n wabash ave,60611,il
"balu smoothies and moor, llc",55 e randolph st,60601,il
bambola & coquette,1400 w randolph st,60607,il
bamboo garden restaurant,3203 n clark st,60657,il
bambooque,1629 n halsted,60614,il
bambu,5010 n broadway,60640,il
bambu desserts and drinks,5010 n broadway,60640,il
banana cream ice cream llc,6305 n clark st,60660,il
bandol,100 w monroe st,60603,il
bang bang,2051 n california ave,60647,il
bangers & lace,1670 w division st,60622,il
bangkok belly,6132 n northwest hwy,60631,il
bangkok thai cuisine,6144 n lincoln ave,60659,il
banh mi & co.,3227 n clark st,60657,il
banh mi city,1518 w 18th st,60608,il
banh mi spot,2631 n kedzie ave,60647,il
bani's beets,10305 s hale ave,60643,il
banquetes la gloria 47th st,4152 4158 w 47th st,60632,il
bar 22,2244 s michigan ave,60616,il
bar cafe san francesco,3815 n harlem ave,60634,il
bar cargo,605 607 n wells st,60654,il
bar cocina,2901 n sheffield ave,60657,il
bar david rubenstein forum,1201 e 60th st,60637,il
bar el calamar,2639 2641 w peterson ave,60659,il
bar goa,116 w hubbard st,60654,il
bar louie,1325 s halsted st,60607,il
bar louie,47 w polk st,60605,il
bar roma,5101 n clark st,60640,il
bar siena,11601 w touhy ave,60666,il
bar siena,832 w randolph st,60607,il
bar takito,952 w lake st,60607,il
barangaroos aussie pies,180 w washington st,60602,il
barangaroos aussie pies,3208 n sheffield ave,60657,il
barba yianni taverna inc.,4761 n lincoln ave,60625,il
barbaro,2525 w north ave,60647,il
barbecue king restaurant,2148 s archer ave,60616,il
barbie cafe,324 s racine ave,60607,il
barca,4754 w belmont ave,60641,il
barcocina,1814 w chicago ave,60622,il
barney's pizza,5648 w chicago ave,60651,il
barra central,2443 2447 n milwaukee ave,60647,il
barraco's pizza,3043 3047 w 111th st,60655,il
barraco's pizza,3124 w 111th st,60655,il
barraco's pizza and the vineyard banquets,2105 2121 w 95th st,60643,il
barrio,65 w kinzie st,60654,il
barrio   bodega,65 w kinzie st,60654,il
barry's,1455 n milwaukee ave,60622,il
barstool river north,14 18 w hubbard st,60654,il
bartaco,1635 1637 n damen ave,60647,il
bartleby's homemade ice cream company,1943 w byron st,60613,il
bartoli's pizzeria,1955 w addison st,60613,il
bartoli's pizzeria,658 n ashland ave,60622,il
bartucci,3426 n harlem ave,60634,il
barwaqo restaurant,6258 n clark st,60660,il
basant,1939 1943 w byron st,60613,il
baseball buffet inc,333 w 35th st,60616,il
basehit bbq,6606 w north ave,60707,il
basil leaf cafe sage,2461 2467 n clark st,60614,il
baskin robbins,1231 s wabash ave,60605,il
baskin robbins,31 e adams st,60603,il
baskin robbins  dunkin donuts,3039 n central ave,60634,il
batter & berries llc,2748 n lincoln ave,60614,il
bavette's,218 w kinzie st,60654,il
bawarchi on okaley,6406 6408 n oakley ave,60645,il
bayan ko,1810 w montrose ave,60613,il
bayan ko diner,1820 1822 w montrose ave,60613,il
bazaar meat cafe by the river  bar mar,120 n wacker dr,60606,il
bazaar meat cafe by the river bar mar,120 n wacker dr,60606,il
bb's a place to eat,4725 w belmont ave,60641,il
bb. q chicken edgewater,1103 w bryn mawr ave,60660,il
bb.q chicken edgewater,1103 w bryn mawr ave,60660,il
bbq bar,2520 2556 s archer ave,60608,il
bbq chicken edgewater beach,1103 w bryn mawr ave,60660,il
bbq for you,5100 s racine ave,60609,il
bbq supply co.,1301 e 53rd st,60615,il
be fitness nutrition,3505 w lawrence ave,60625,il
beans & bagel,2601 w leland ave,60625,il
bear naked social,116 n aberdeen st,60607,il
beard & belly,6155 6157 n broadway,60660,il
beard papas,1924 w north ave,60622,il
beat kitchen,2100 w belmont ave,60618,il
beat kitchen,600 e grand ave,60611,il
beat kitchen's bar sol,600 e grand ave,60611,il
beatnik,1604 1608 w chicago ave,60622,il
beatrix,155 n wacker dr,60606,il
